State,Deaths,day
Alabama,291,saturday
Alaska,55,saturday
Arizona,354,saturday
Arkansas,165,saturday
California,1276,saturday
Colorado,245,saturday
Connecticut,146,saturday
Delaware,39,saturday
District of Columbia,32,saturday
Florida,955,saturday
Georgia,476,saturday
Hawaii,42,saturday
Idaho,64,saturday
Illinois,594,saturday
Indiana,366,saturday
Iowa,127,saturday
Kansas,133,saturday
Kentucky,232,saturday
Louisiana,289,saturday
Maine,48,saturday
Maryland,307,saturday
Massachusetts,285,saturday
Michigan,485,saturday
Minnesota,185,saturday
Mississippi,178,saturday
Missouri,341,saturday
Montana,56,saturday
Nebraska,56,saturday
Nevada,117,saturday
New Hampshire,75,saturday
New Jersey,366,saturday
New Mexico,129,saturday
New York,661,saturday
North Carolina,530,saturday
North Dakota,36,saturday
Ohio,687,saturday
Oklahoma,214,saturday
Oregon,161,saturday
Pennsylvania,704,saturday
Rhode Island,38,saturday
South Carolina,279,saturday
South Dakota,29,saturday
Tennessee,359,saturday
Texas,1112,saturday
Utah,129,saturday
Vermont,23,saturday
Virginia,333,saturday
Washington,277,saturday
West Virginia,115,saturday
Wisconsin,232,saturday
Wyoming,22,saturday
Alabama,279,friday
Alaska,42,friday
Arizona,270,friday
Arkansas,143,friday
California,1201,friday
Colorado,249,friday
Connecticut,140,friday
Delaware,48,friday
District of Columbia,25,friday
Florida,898,friday
Georgia,438,friday
Hawaii,51,friday
Idaho,72,friday
Illinois,540,friday
Indiana,322,friday
Iowa,98,friday
Kansas,108,friday
Kentucky,245,friday
Louisiana,279,friday
Maine,55,friday
Maryland,289,friday
Massachusetts,257,friday
Michigan,462,friday
Minnesota,174,friday
Mississippi,159,friday
Missouri,315,friday
Montana,52,friday
Nebraska,51,friday
Nevada,112,friday
New Hampshire,68,friday
New Jersey,314,friday
New Mexico,118,friday
New York,574,friday
North Carolina,465,friday
North Dakota,31,friday
Ohio,651,friday
Oklahoma,184,friday
Oregon,126,friday
Pennsylvania,593,friday
Rhode Island,32,friday
South Carolina,260,friday
South Dakota,36,friday
Tennessee,325,friday
Texas,1056,friday
Utah,122,friday
Vermont,22,friday
Virginia,319,friday
Washington,233,friday
West Virginia,115,friday
Wisconsin,239,friday
Wyoming,21,friday
