State,Deaths
Alabama,279
Alaska,42
Arizona,270
Arkansas,143
California,1201
Colorado,249
Connecticut,140
Delaware,48
District of Columbia,25
Florida,898
Georgia,438
Hawaii,51
Idaho,72
Illinois,540
Indiana,322
Iowa,98
Kansas,108
Kentucky,245
Louisiana,279
Maine,55
Maryland,289
Massachusetts,257
Michigan,462
Minnesota,174
Mississippi,159
Missouri,315
Montana,52
Nebraska,51
Nevada,112
New Hampshire,68
New Jersey,314
New Mexico,118
New York,574
North Carolina,465
North Dakota,31
Ohio,651
Oklahoma,184
Oregon,126
Pennsylvania,593
Rhode Island,32
South Carolina,260
South Dakota,36
Tennessee,325
Texas,1056
Utah,122
Vermont,22
Virginia,319
Washington,233
West Virginia,115
Wisconsin,239
Wyoming,21
