State,Deaths
Alabama,224
Alaska,59
Arizona,284
Arkansas,147
California,1094
Colorado,230
Connecticut,133
Delaware,44
District of Columbia,28
Florida,794
Georgia,452
Hawaii,40
Idaho,65
Illinois,482
Indiana,332
Iowa,99
Kansas,101
Kentucky,234
Louisiana,269
Maine,59
Maryland,285
Massachusetts,266
Michigan,430
Minnesota,150
Mississippi,163
Missouri,289
Montana,42
Nebraska,62
Nevada,120
New Hampshire,43
New Jersey,316
New Mexico,107
New York,570
North Carolina,418
North Dakota,47
Ohio,631
Oklahoma,182
Oregon,116
Pennsylvania,628
Rhode Island,31
South Carolina,245
South Dakota,43
Tennessee,312
Texas,1024
Utah,122
Vermont,20
Virginia,308
Washington,253
West Virginia,113
Wisconsin,201
Wyoming,31
