State,Deaths
Alabama,291
Alaska,55
Arizona,354
Arkansas,165
California,1276
Colorado,245
Connecticut,146
Delaware,39
District of Columbia,32
Florida,955
Georgia,476
Hawaii,42
Idaho,64
Illinois,594
Indiana,366
Iowa,127
Kansas,133
Kentucky,232
Louisiana,289
Maine,48
Maryland,307
Massachusetts,285
Michigan,485
Minnesota,185
Mississippi,178
Missouri,341
Montana,56
Nebraska,56
Nevada,117
New Hampshire,75
New Jersey,366
New Mexico,129
New York,661
North Carolina,530
North Dakota,36
Ohio,687
Oklahoma,214
Oregon,161
Pennsylvania,704
Rhode Island,38
South Carolina,279
South Dakota,29
Tennessee,359
Texas,1112
Utah,129
Vermont,23
Virginia,333
Washington,277
West Virginia,115
Wisconsin,232
Wyoming,22
