State	Deaths
Alabama	234
Alaska	46
Arizona	308
Arkansas	133
California	1068
Colorado	207
Connecticut	125
Delaware	40
District of Columbia	27
Florida	825
Georgia	394
Hawaii	39
Idaho	58
Illinois	500
Indiana	321
Iowa	86
Kansas	124
Kentucky	198
Louisiana	248
Maine	44
Maryland	269
Massachusetts	239
Michigan	415
Minnesota	143
Mississippi	150
Missouri	295
Montana	51
Nebraska	60
Nevada	116
New Hampshire	51
New Jersey	299
New Mexico	131
New York	551
North Carolina	421
North Dakota	33
Ohio	597
Oklahoma	182
Oregon	117
Pennsylvania	635
Rhode Island	38
South Carolina	219
South Dakota	22
Tennessee	336
Texas	1046
Utah	110
Vermont	27
Virginia	266
Washington	202
West Virginia	103
Wisconsin	187
Wyoming	17
